SchoolID,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentNative,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercent2Plus,GraduatePercentUnknown,GraduatePercentWomen
100654,963,7,76,0,1,1,0,0,1,11,71
100663,8087,63,15,3,6,6,0,0,2,2,64
100690,404,31,62,1,2,1,1,1,0,3,60
100706,2065,65,9,3,3,3,0,1,1,6,52
100724,510,21,72,1,1,1,0,0,1,1,71
100751,5362,67,13,4,1,1,0,0,2,1,60
100760,0,,,,,,,,,,
100812,159,58,31,3,1,1,0,3,4,1,60
100830,579,47,34,1,2,2,0,0,0,6,67
100858,5812,62,8,3,2,2,0,0,1,0,53
100937,0,,,,,,,,,,
101028,0,,,,,,,,,,
101116,69,17,80,1,0,0,0,1,0,0,71
101143,0,,,,,,,,,,
101161,0,,,,,,,,,,
101189,750,59,33,3,1,1,0,1,1,1,61
101240,0,,,,,,,,,,
101277,0,,,,,,,,,,
101286,0,,,,,,,,,,
101295,0,,,,,,,,,,
101301,0,,,,,,,,,,
101365,20,15,70,0,0,0,0,0,0,15,85
101435,0,,,,,,,,,,
101453,27,78,4,0,0,0,0,7,4,0,4
101462,0,,,,,,,,,,
101471,0,,,,,,,,,,
101480,1158,68,24,1,0,0,0,1,0,3,66
101505,0,,,,,,,,,,
101514,0,,,,,,,,,,
101541,0,,,,,,,,,,
101569,0,,,,,,,,,,
101587,3046,56,33,1,0,0,0,1,1,7,81
101602,0,,,,,,,,,,
101648,0,,,,,,,,,,
101675,0,,,,,,,,,,
101693,209,46,42,1,2,1,1,1,1,2,79
101709,331,75,16,2,1,1,0,0,2,4,80
101736,0,,,,,,,,,,
101879,1335,72,14,3,2,2,0,1,2,1,59
101897,0,,,,,,,,,,
101912,55,18,42,7,20,20,0,2,0,7,73
101994,0,,,,,,,,,,
102030,0,,,,,,,,,,
102049,2084,74,15,2,2,2,0,1,2,4,65
102058,13,0,100,0,0,0,0,0,0,0,38
102067,0,,,,,,,,,,
102076,0,,,,,,,,,,
102094,4541,67,17,3,4,4,0,1,2,4,78
102234,125,74,8,3,2,2,0,1,2,5,38
102270,0,,,,,,,,,,
102298,4,0,75,0,25,25,0,0,0,0,100
102313,0,,,,,,,,,,
102368,3529,22,26,1,0,0,0,0,1,46,67
102377,497,9,54,7,3,2,1,1,0,25,68
102395,241,65,21,5,1,1,0,0,3,4,32
102429,0,,,,,,,,,,
102553,759,67,3,6,5,4,1,5,8,3,65
102580,0,,,,,,,,,,
102614,975,60,1,5,3,2,0,5,6,11,59
102632,256,64,1,7,2,1,0,7,4,9,72
102669,201,46,2,5,3,2,0,23,6,13,62
102711,0,,,,,,,,,,
102845,0,,,,,,,,,,
103501,0,,,,,,,,,,
103741,0,,,,,,,,,,
103893,0,,,,,,,,,,
103909,0,,,,,,,,,,
103927,0,,,,,,,,,,
103945,0,,,,,,,,,,
103954,0,,,,,,,,,,
103963,0,,,,,,,,,,
104090,16,75,6,13,0,0,0,0,0,6,88
104151,8741,38,2,9,5,5,0,1,2,1,42
104160,0,,,,,,,,,,
104179,9944,47,3,14,7,6,0,2,3,6,53
104188,1,0,0,0,0,0,0,100,0,0,0
104346,0,,,,,,,,,,
104391,0,,,,,,,,,,
104425,0,,,,,,,,,,
104434,0,,,,,,,,,,
104443,0,,,,,,,,,,
104504,0,,,,,,,,,,
104568,0,,,,,,,,,,
104577,0,,,,,,,,,,
104586,50,50,0,10,8,8,0,0,6,10,36
104665,19,63,0,26,11,11,0,0,0,0,53
104708,0,,,,,,,,,,
104717,36114,44,27,13,4,4,0,1,3,7,76
105145,0,,,,,,,,,,
105154,0,,,,,,,,,,
105206,0,,,,,,,,,,
105215,0,,,,,,,,,,
105297,0,,,,,,,,,,
105330,3994,63,5,16,3,2,0,4,4,2,69
105349,0,,,,,,,,,,
105367,465,31,3,8,50,50,0,2,2,5,59
105428,0,,,,,,,,,,
105482,0,,,,,,,,,,
105525,0,,,,,,,,,,
105534,0,,,,,,,,,,
105543,0,,,,,,,,,,
105589,371,74,4,6,1,1,0,2,8,4,77
105659,0,,,,,,,,,,
105668,0,,,,,,,,,,
105677,0,,,,,,,,,,
105747,0,,,,,,,,,,
105792,0,,,,,,,,,,
105899,0,,,,,,,,,,
106041,0,,,,,,,,,,
106111,0,,,,,,,,,,
106148,0,,,,,,,,,,
106245,2800,60,18,3,2,2,0,0,4,2,63
106263,2152,74,8,4,7,7,0,1,3,1,64
106306,0,,,,,,,,,,
106315,0,,,,,,,,,,
106324,0,,,,,,,,,,
106342,0,,,,,,,,,,
