survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2019,100654,6172,5801,5572,600,2,88,1,0,0,0,0,1,7,1,62,32,5273,1694,114,3463,2,4975,1688,95,3192,0,298,6,19,271,2,1,91,1,0,0,0,0,1,5,1,60,899,597,302,5,70,0,0,0,0,0,1,18,5,70,694,200,494,403,128,275,291,72,219,27,69,4,0,,,,,,,,,2,20,79,2,19,80,2,25,73
2019,100663,22080,17454,14602,7478,58,21,4,6,6,0,0,4,1,5,63,17,13836,2346,1339,9643,508,10315,2304,845,7123,43,3521,42,494,2520,465,55,24,6,7,7,0,0,4,1,3,61,8244,4287,3957,63,15,2,6,6,0,0,2,3,9,65,8842,2752,6090,3375,796,2579,5467,1956,3511,2,78,20,0,1954,361,31,0,83,15,1,0,26,33,41,17,45,38,40,13,47
2019,100690,833,527,334,499,29,63,2,1,1,0,0,2,3,0,62,1,365,3,305,57,0,192,3,163,26,0,173,0,142,31,0,19,73,2,0,0,0,0,4,2,0,71,468,142,326,37,55,3,1,1,0,1,0,3,0,55,755,306,449,293,158,135,462,148,314,0,15,84,1,,,,,,,,,100,0,0,100,0,0,100,0,0
2019,100706,9988,8356,7350,2638,69,9,5,4,4,0,1,3,5,4,44,19,7989,1497,793,5495,204,6749,1489,605,4639,16,1240,8,188,856,188,71,9,6,4,4,0,1,4,4,2,42,1999,601,1398,63,9,3,4,4,0,1,1,9,11,52,2769,1226,1543,1016,632,384,1753,594,1159,3,82,15,0,936,524,34,3,63,35,2,0,7,26,67,3,28,69,25,15,59
2019,100724,4190,3918,3744,446,4,90,1,0,0,0,0,1,1,2,64,27,3750,1019,156,2575,0,3446,1000,150,2296,0,304,19,6,279,0,2,93,1,0,0,0,0,1,1,1,63,440,298,142,26,67,2,0,0,0,0,1,1,2,69,546,259,287,331,175,156,215,84,131,2,91,7,0,580,421,18,0,57,41,2,0,1,32,67,1,34,65,6,10,84
2019,100751,38100,34739,32595,5505,75,11,5,1,1,0,0,3,1,4,56,21,32795,6764,1614,23522,895,29135,6734,1047,21233,121,3660,30,567,2289,774,77,10,5,1,1,0,0,4,1,3,56,5305,3460,1845,67,13,4,2,2,0,0,2,1,11,61,6230,2702,3528,2742,855,1887,3488,1847,1641,3,89,8,0,2533,4137,81,13,37,61,1,0,12,1,87,9,1,90,31,5,64
2019,100760,1799,1085,724,1075,74,20,3,1,1,0,0,1,1,0,56,18,1799,396,104,701,598,724,328,54,335,7,1075,68,50,366,591,74,20,3,1,1,0,0,1,1,0,56,0,0,0,,,,,,,,,,,,276,276,0,92,92,0,184,184,0,26,58,15,0,376,13,0,7,95,3,0,2,9,31,59,9,31,59,,,
2019,100812,2941,1916,1231,1710,75,14,3,1,1,0,1,3,3,0,68,0,2774,0,616,2061,97,1194,0,372,822,0,1580,0,244,1239,97,76,13,3,1,1,0,1,3,3,0,68,167,37,130,58,37,1,1,1,0,1,2,0,0,67,1732,1578,154,505,468,37,1227,1110,117,0,43,57,0,,,,,,,,,68,24,8,66,25,9,98,2,1
2019,100830,5188,4320,3761,1427,45,41,1,2,2,0,0,3,2,6,65,13,4523,626,465,3316,116,3505,602,389,2497,17,1018,24,76,819,99,44,42,1,2,2,0,0,4,1,5,65,665,256,409,47,33,2,2,2,0,0,1,4,11,65,1411,923,488,608,450,158,803,473,330,2,78,20,0,566,38,21,1,90,6,3,0,12,35,53,8,36,56,40,28,32
2019,100858,30460,27614,25866,4594,76,5,3,3,2,0,0,2,0,10,49,19,24594,4808,979,18422,385,22527,4761,887,16716,163,2067,47,92,1706,222,79,5,3,2,2,0,0,3,0,7,48,5866,3339,2527,62,8,4,3,3,0,0,1,1,22,53,4926,1091,3835,2437,658,1779,2489,433,2056,0,95,4,0,2605,2153,3,47,54,45,0,1,6,22,73,2,25,73,22,7,71
