survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2020,100654,5977,5530,5249,728,2,86,1,0,0,0,0,1,8,1,61,30,5093,1535,174,3381,3,4663,1525,154,2984,0,430,10,20,397,3,2,90,1,0,0,0,0,1,4,1,60,884,586,298,3,62,0,1,1,0,0,0,29,4,69,877,278,599,549,186,363,328,92,236,1,94,5,0,806,700,0,29,53,46,0,2,31,65,4,25,72,3,66,26,8
2020,100663,22563,17804,14880,7683,57,21,5,7,6,0,0,4,2,5,63,15,13878,2154,1377,10018,329,10402,2102,853,7397,50,3476,52,524,2621,279,55,24,6,7,7,0,0,5,1,3,62,8685,4478,4207,62,16,2,6,6,0,0,2,3,8,66,9022,2690,6332,3412,754,2658,5610,1936,3674,1,79,19,0,1763,360,29,2,82,17,1,0,28,37,35,18,52,30,44,14,42
2020,100690,775,488,308,467,35,57,3,1,1,0,0,0,2,0,61,0,298,0,228,70,0,172,0,133,39,0,126,0,95,31,0,26,69,3,0,0,0,0,0,2,0,71,477,136,341,42,50,4,2,1,1,0,0,3,0,55,,,,,,,,,,,,,,,,,,,,,,100,0,0,100,0,0,100,0,0
2020,100706,9999,8359,7345,2654,69,9,5,4,4,0,1,4,5,3,43,17,8027,1345,736,5744,202,6730,1328,577,4813,12,1297,17,159,931,190,71,9,6,4,4,0,1,4,3,2,41,1972,615,1357,60,9,3,4,3,0,1,1,14,9,53,2746,1216,1530,1057,648,409,1689,568,1121,2,83,15,0,884,441,15,5,66,33,1,0,50,46,4,45,54,2,74,14,12
2020,100724,4072,3789,3607,465,4,90,1,0,0,0,0,1,1,1,65,26,3614,975,137,2491,11,3289,926,130,2233,0,325,49,7,258,11,2,93,1,0,0,0,0,1,1,2,64,458,318,140,25,70,1,0,0,0,0,1,1,1,70,554,249,305,359,182,177,195,67,128,1,92,7,0,524,427,14,10,54,44,1,1,36,58,5,34,62,5,58,33,9
2020,100751,37840,33978,31533,6307,75,11,5,2,1,0,0,3,1,3,57,20,31670,6507,1224,22879,1060,27750,6466,810,20447,27,3920,41,414,2432,1033,77,11,5,1,1,0,0,4,1,2,56,6170,3783,2387,67,13,4,2,2,0,0,3,1,10,63,6562,2516,4046,2768,803,1965,3794,1713,2081,4,88,8,0,2701,3762,34,10,42,58,1,0,20,70,10,16,78,6,41,30,29
2020,100760,1546,883,548,998,74,15,2,1,1,0,0,3,5,0,58,15,1546,278,44,672,552,548,225,21,298,4,998,53,23,374,548,74,15,2,1,1,0,0,3,5,0,58,0,0,0,,,,,,,,,,,,264,264,0,73,73,0,191,191,0,28,55,17,0,266,6,0,6,96,2,0,2,74,8,17,74,8,17,,,
2020,100812,2867,1894,1246,1621,75,15,4,1,1,0,1,3,3,0,69,0,2688,0,534,2095,59,1202,0,328,874,0,1486,0,206,1221,59,76,13,4,1,1,0,1,2,3,0,69,179,44,135,55,36,3,0,0,0,1,4,0,0,58,1660,1497,163,484,447,37,1176,1050,126,0,44,56,0,,,,,,,,,60,33,7,57,35,8,99,0,1
2020,100830,5212,4295,3710,1502,43,43,1,2,2,0,0,3,1,5,66,15,4375,674,366,3261,74,3374,641,291,2441,1,1001,33,75,820,73,42,45,1,2,2,0,0,3,1,4,66,837,336,501,44,36,2,3,3,0,0,1,3,11,64,1474,868,606,644,442,202,830,426,404,3,77,20,0,626,33,14,1,93,5,2,0,17,43,40,11,46,43,48,29,23
2020,100858,30737,27701,25846,4891,77,5,4,3,2,0,0,2,0,8,50,20,24505,4914,1020,18434,137,22458,4869,898,16641,50,2047,45,122,1793,87,81,5,4,2,2,0,0,3,0,6,49,6232,3388,2844,65,8,4,3,3,0,0,2,0,18,54,5196,1074,4122,2379,629,1750,2817,445,2372,1,95,4,0,2634,2258,1,21,54,46,0,0,7,27,66,2,32,66,27,8,65
