SchoolID,TotalEnrollment,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentIndian,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercentTwoPlus,GraduatePercentUnknown,GraduatePercentInternational,GraduatePercentWomen,GraduatePercentMen
100760,1910,0,,,,,,,,,,,,
101028,1712,0,,,,,,,,,,,,
101143,2248,0,,,,,,,,,,,,
101161,6791,0,,,,,,,,,,,,
101240,4728,0,,,,,,,,,,,,
101277,39,0,,,,,,,,,,,,
101286,4010,0,,,,,,,,,,,,
101295,6023,0,,,,,,,,,,,,
101301,1935,0,,,,,,,,,,,,
101462,1011,0,,,,,,,,,,,,
101471,826,0,,,,,,,,,,,,
101505,8839,0,,,,,,,,,,,,
101514,8736,0,,,,,,,,,,,,
101569,3153,0,,,,,,,,,,,,
101602,2130,0,,,,,,,,,,,,
101648,308,0,,,,,,,,,,,,
101675,1151,0,,,,,,,,,,,,
101736,4136,0,,,,,,,,,,,,
101897,2905,0,,,,,,,,,,,,
101994,576,0,,,,,,,,,,,,
102030,3568,0,,,,,,,,,,,,
102067,4536,0,,,,,,,,,,,,
102076,2767,0,,,,,,,,,,,,
102270,779,0,,,,,,,,,,,,
102313,1907,0,,,,,,,,,,,,
102429,3946,0,,,,,,,,,,,,
102580,65,0,,,,,,,,,,,,
102711,452,0,,,,,,,,,,,,
102845,2277,0,,,,,,,,,,,,
103501,255,0,,,,,,,,,,,,
103741,213,0,,,,,,,,,,,,
103893,1088,0,,,,,,,,,,,,
103909,492,0,,,,,,,,,,,,
103927,437,0,,,,,,,,,,,,
103954,49,0,,,,,,,,,,,,
103963,513,0,,,,,,,,,,,,
104160,8038,0,,,,,,,,,,,,
104346,5131,0,,,,,,,,,,,,
104391,88,0,,,,,,,,,,,,
104425,3782,0,,,,,,,,,,,,
104443,98,0,,,,,,,,,,,,
104568,388,0,,,,,,,,,,,,
104577,5076,0,,,,,,,,,,,,
104708,13480,0,,,,,,,,,,,,
105145,5123,0,,,,,,,,,,,,
105154,16624,0,,,,,,,,,,,,
105206,3693,0,,,,,,,,,,,,
105215,567,0,,,,,,,,,,,,
105349,2825,0,,,,,,,,,,,,
105428,10384,0,,,,,,,,,,,,
105525,15819,0,,,,,,,,,,,,
105543,737,0,,,,,,,,,,,,
105659,1296,0,,,,,,,,,,,,
105668,18631,0,,,,,,,,,,,,
105677,15,0,,,,,,,,,,,,
105747,6875,0,,,,,,,,,,,,
105792,4157,0,,,,,,,,,,,,
106041,1791,0,,,,,,,,,,,,
106148,7200,0,,,,,,,,,,,,
106306,373,0,,,,,,,,,,,,
106315,111,0,,,,,,,,,,,,
106324,56,0,,,,,,,,,,,,
106342,584,0,,,,,,,,,,,,
106351,111,0,,,,,,,,,,,,
106449,3010,0,,,,,,,,,,,,
106494,47,0,,,,,,,,,,,,
106546,512,0,,,,,,,,,,,,
