SchoolID,TotalExpenses
100654,227586697
100663,4677414873
100706,306323891
100724,161817460
100733,44028824
100751,1330548548
100760,21050065
100812,46952001
100830,97380380
100858,1419815257
101028,20128522
101143,24459909
101161,73402656
101240,56953415
101286,43999805
101295,54444828
101301,26514803
101462,13731440
101471,
101480,179710578
101505,62431630
101514,71519827
101569,42443277
101587,87892801
101602,19339091
101648,17428929
101709,81795827
101736,34653178
101879,151557273
101897,26764390
101994,8763406
102030,40699606
102067,48222176
102076,23027646
102094,1242246000
102313,27291802
102368,258123773
102429,46447192
102553,272589585
102614,461221438
102632,42158041
102711,
103529,46242914
104151,3612963000
104160,85302292
104179,2583810000
104346,70121461
104425,69842723
104577,52177282
104708,
105136,990569121
105145,
105154,
105206,45661699
105297,41185881
105330,649970852
105349,35751740
105428,
105525,229823001
105668,
105747,
105792,
106148,78178732
106245,182867851
106263,2099749000
106397,1095951026
106412,100110341
106449,35353665
106458,229666336
106467,129612144
106485,48932018
106625,18298198
106704,219734640
106795,17927629
106883,16133690
106980,33108560
106999,15132883
107071,50940569
107318,19513323
107327,22729120
107460,26308511
107488,
107521,14512468
107549,12381527
107585,19981388
107619,23627525
107637,17193039
107664,46152259
107725,15731775
107743,12708737
107974,18479944
107983,80935978
107992,20212760
108056,219629949
108092,82563966
108667,
108807,139331467
109208,
109350,185216861
109819,410754717
109907,50830731
110246,228005993
110334,144849279
110398,105638597
110422,646068904
110486,244170444
110495,254096410
110501,994019223
110510,398078306
110529,552342228
110538,366695439
110547,353373816
110556,495423703
110565,718109353
110574,319092533
110583,791535280
110592,541948969
110608,716535259
110617,682631804
110635,
110644,
110653,
110662,
110671,
110680,
110699,
110705,
110714,
111188,73726687
111434,74165632
111461,222328516
111887,253560954
111896,
111920,165467635
111939,223105663
112172,141411338
112190,240411085
112367,
112376,57039508
112385,71419216
112561,
112686,78636312
112817,371966456
112826,
113096,
113111,
113193,109752278
113218,
113236,
113333,
113573,185529417
113634,
113856,
113980,249781040
114266,
114433,30507783
114716,
114789,
114831,431719866
114859,
114938,60246108
115001,188717653
115126,116127035
115287,291984859
115296,
115393,129422334
115755,233609145
115861,137478024
116439,
117052,
117195,36016201
117247,
117274,31494659
117645,332007928
117681,1608000195
117690,
117706,
117715,
117724,
117733,
117788,
117803,
117867,
117894,
117900,682655768
118347,108725958
118684,58448651
118718,143357372
118772,
118912,208451906
118930,
118976,
119067,95813470
119137,
119164,476258901
119216,178307950
119331,76369183
120023,430009802
120290,119351331
120342,191162966
120421,
120953,39979290
120971,238863402
121044,341115360
121178,356794837
121363,
121619,
121707,83027720
121886,228572277
121901,259380650
122180,
122205,
122320,575308430
122339,125237238
122375,156606032
122384,100846322
122409,1011693460
122597,585132932
122658,204731451
122737,272496115
122746,
122755,719318873
122782,81715619
122791,111416594
122889,199552427
122977,378397638
123013,253149095
123217,163186505
123299,124121611
123341,182297858
123484,36273265
123493,
123509,109357212
123527,
123563,107001659
123572,231770811
123800,280367404
123925,504611919
124113,58038347
124557,55957381000
125019,351669567
125028,
125091,156049423
125170,
125222,236341633
125462,
125471,
126100,261547550
126119,78076006
126182,62664066
126207,109134135
126289,81088353
126562,3148827614
126580,258857877
126614,1963536554
126711,100823715
126748,18320095
126775,374433421
126818,1609309817
126863,53103938
126915,
126942,66343060
127158,
127185,100152574
127200,144355717
127389,12707737
127556,176715864
127565,300701302
127617,16394386
127732,24201121
127741,219669414
127778,28089256
127820,109964111
127884,59273840
127909,64352806
128106,105251445
128151,
128258,19253252
128300,332560959
128328,
128391,73082466
128771,284295817
128780,17186781
129020,2848664715
129215,147249398
129367,498903418
130493,298747301
130624,174777222
130776,155075780
130882,37617714
130907,153923185
130934,216967973
131399,193183162
132374,
132675,
132693,119831194
132709,290249111
132851,78578016
132903,1382919989
132976,
133021,24094914
133155,
133386,133600818
133508,124304365
133650,381255297
133669,658272052
133702,206202175
133951,1207256684
133960,17692347
134097,1644170359
134130,4663419000
134291,
134307,
134343,61117140
134495,221404818
134608,150747714
135160,36909151
135179,
135188,43950233
135267,
135276,
135294,
135391,90381415
135407,
135522,
135647,
135717,607477447
135735,
136145,16957056
136172,329543847
136233,62015169
136303,
136358,214033200
136400,87982820
136473,90032214
136491,
136516,106427954
136659,
136765,
136826,
137023,
137078,220468684
137087,
137096,131211123
137120,
137209,121139153
137245,
137281,55027764
137315,49833359
137351,1671993142
137713,
137759,131122674
137856,
137865,
138187,338598392
138284,
138354,234757723
138372,
138479,
138488,
138497,
138558,64273996
138682,38193370
138716,134089303
138840,50976851
138901,22332415
138956,46713871
139250,42002699
139278,61467047
139311,95321201
139357,38445823
139366,128485169
139384,53101393
139463,53448384
139621,26375295
139700,50746398
139719,98243891
139746,
139755,2515013436
139764,52011592
139861,167205359
139931,478687002
139940,1108830448
139959,1909017084
139968,39182836
139986,43933259
140012,70018971
140243,43552336
140331,75577784
140678,31425187
140942,53475728
140960,77105155
141006,27021617
141255,44429025
141264,178329135
141334,229729728
141565,122418376
141574,1079657180
141680,48973461
141796,78131124
141802,25985646
141811,72410845
141839,49705882
141963,173364984
141981,58693560
141990,35632047
142115,540895783
142179,34422594
142276,304621358
142285,488577441
142328,55126874
142443,73328112
142559,90887412
143215,106243047
143279,48145211
143613,25218832
144005,98033547
144157,
144166,
144175,
144184,
144193,
144209,
