UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C142,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1MHOP,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1E12,F1E121,F1E122,F1E13,F1E131,F1E132,F1E14,F1E141,F1E142,F1E15,F1E151,F1E152,F1E16,F1E161,F1E162,F1E17,F1E171,F1E172,F1FHA,F1H01,F1H02,F1H03,F1H03A,F1H03B,F1H03C,F1H03D,F1N01,F1N02,F1N03,F1N04,F1N05,F1N06,F1N07
101240,52688126,79488570,6925762,86414332,139102458,21478796,2004333,12419926,14424259,22088257,50659292,72747549,87171808,23047376,56911589,2684348,1669082,-10902949,50362070,1316808,3004115,80586232,18288929,18213913,121409997,57123895,0,16519277,77646096,56953415,20692681,29545930,123459,50362070,6853630,11134980,3475788,307468,40283,267185,691849,,84194,,0,22547909,0,25902476,934672,12425963,0,0,2535,665261,2068931,41999838,64547747,0,13098349,0,0,13098349,77646096,19398046,13222783,0,0,99682,78752,2410284,1497463,6009173,3894312,10051147,4160785,5390546,657680,121984,,,,,12936857,0,56953415,22976079,5953443,8037298,3733376,1068641,15184578,1,4732737,45633337,2695315,15140824,1,29210,4541630,17714389,6139171,12425963,495979,1351573,0,155958,2502252,16931725,11331597,209582,11541179,5390546,9858490,9858490,0,226632,226632,0,906528,906528,0,0,0,0,37394,37394,0,512135,302553,209582,1,3461273,3780388,319115,0,319115,0,0,7594331,64547747,20692681,50362070,48692987,24092589,56953415
101286,42344294,38223527,955675,39179202,81523496,17491384,709967,5652239,6362206,4486868,41350946,45837814,52200020,16054630,33869299,658630,173420,-3941119,30760230,842817,5637982,56990298,14984212,1378385,79833694,40860277,0,92928,45595693,43999805,1595888,29196617,-32275,30760230,5428425,5314304,3391315,37367,0,37367,586851,,13061,,0,14771323,0,19856556,0,9687160,0,0,0,849953,430701,30824370,45595693,0,0,0,0,0,45595693,21961736,12556515,0,0,0,0,2512995,1498481,4800078,2609848,8025881,3242100,3553415,664659,31558,,,,,2481041,0,43999805,19938502,5229986,3258296,2882381,144205,12546435,1,1991746,37058000,2536000,12736000,2,,,,,9687160,196411,746623,0,0,1984621,12614815,9061400,0,9061400,3553415,9061400,9061400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160538,173420,12882,0,0,0,12882,1818888,45595693,1595888,30760230,42457152,5196835,43999805
100706,191133109,291902452,190182144,482084596,673217705,115690814,7234920,76131966,83366886,137943528,251489286,389432814,472799700,80431442,165912607,88142241,17887270,-36264741,235677377,45039271,0,480754855,120390370,2236324,648420820,343282982,2014915,0,395404266,306323891,89080375,147042796,-445794,235677377,75728883,125137893,5526996,2826679,0,2826679,16140647,0,4032231,0,0,229393329,0,73678125,0,9170783,0,0,3398143,14685547,0,100932598,330325927,21914057,20401460,3192289,19570533,65078339,395404266,72583420,45300813,128321935,62389013,4077881,1726453,17013709,5427457,20203313,8480944,23128046,12029228,4212336,10908575,2095358,0,0,0,0,25874676,0,306323891,137449266,59391790,15732384,20326789,5403646,68020016,1,30263765,237205000,9634000,82415669,1,-4389089,13303095,64829242,33275145,8202339,313208,217233,0,3372640,33353686,45459106,40451521,795249,41246770,4212336,10790948,10790948,0,346790,346790,0,4568,4568,0,0,0,0,1056509,1035379,21130,29047955,28273836,774119,1,87756960,99627019,11870059,6663908,5206151,-3795240,3795240,40656997,362828426,112259674,440404324,337268534,145178448,331641104
100724,137736601,237628454,822454,238450908,376187509,54173161,4471218,30075696,34546914,40960000,112945717,153905717,188452631,50035776,214069,28822011,250000,162586183,191872263,21493898,93098071,285786860,28337607,884725,429601161,199382756,4697608,2712441,182037788,161817460,20220328,171620783,31152,191872263,38285863,29426372,4460640,3185858,0,3185858,15164777,0,0,0,5896950,96420460,0,69270686,0,12091361,261254,0,55000,2995146,0,84673447,181093907,943881,0,0,0,943881,182037788,43009909,32906133,4601665,2102547,5993380,3650494,20251707,10192835,25038191,13157131,30297411,8437907,15084594,13874718,2577410,0,0,0,0,3665885,0,161817460,73024457,14758111,20872934,12575205,2178099,38408654,1,4778765,98398240,3685000,32818623,1,-1112880,9549942,46350776,20987838,11772440,318922,261254,0,490385,16852977,29695978,11537779,3073605,14611384,15084594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14611384,11537779,3073605,1,108202146,118616285,10414139,99770,1852076,-2584132,11046425,21974812,186376404,21974812,295548820,0,40960000,161817460
100751,883372278,2376277956,2488963758,4865241714,5748613992,444311087,47775250,553996106,601771356,1051532061,977029145,2028561206,2630332562,330284306,1655747911,729908171,750668381,95983748,3232308211,200217929,233386798,2794179078,431200748,180086355,3839070908,1174161631,65391724,18589106,1837798545,1330548548,507249997,2725058214,0,3232308211,489751283,111570875,33993620,7408879,1432341,5976538,218138305,0,17564235,0,95574270,974001467,0,212885740,0,39136784,0,0,78861700,219906628,7593264,558384116,1532385583,91296042,46465094,145730568,21921258,305412962,1837798545,330839391,178576848,192820347,91196833,73614730,35453442,122985559,53941086,78187613,31458893,127881675,58824196,37137535,270924165,79465438,0,0,0,0,96157533,0,1330548548,528916736,208345810,108147844,101494782,33672284,349971092,1,110337003,894458000,41588000,304165286,1,-23083687,57432788,273377903,124292935,33476067,5998657,1255119,0,19655959,288875558,349261360,295336578,16787247,312123825,37137535,33476067,33476067,0,5998657,5998657,0,1255119,1255119,0,0,0,0,5997025,5997025,0,265396957,248609710,16787247,1,1144632976,1369440098,224807122,175368036,114289374,-64185953,-664335,96411833,1458925653,561914071,3751222779,1656890692,1174146824,1362710658
100812,40506193,53366237,7873593,61239830,101746023,18848128,1500000,9850088,11350088,4718000,45798950,50516950,61867038,14438876,45269295,5881341,200000,-7062399,44288237,2664306,3172484,53691815,4400113,10069721,73998439,22428434,1796232,0,64409355,46952001,17457354,26830883,0,44288237,16159710,2623318,4046116,0,0,0,449918,0,0,0,0,23279062,0,33935471,0,5725373,0,0,0,990482,478967,41130293,64409355,0,0,0,0,0,64409355,21523557,14010599,0,0,0,0,4287099,2360989,4969216,2326430,8774212,4009223,3560336,440659,149941,0,0,0,0,3396922,0,46952001,22857182,6380591,1930680,1734308,181679,13867561,1,4957975,40057000,1885000,14047327,1,-1742730,3400184,12553876,4683167,5725373,1007815,227109,0,0,1426213,8386510,4826174,0,4826174,3560336,2117302,2117302,0,363732,363732,0,82827,82827,0,0,0,0,0,0,0,2262313,2262313,0,1,4982337,6058537,1076200,944166,327811,-195777,0,-23491260,64409355,17457354,44288237,-7062399,6218000,46952001
100830,30375974,96189647,97096842,193286489,223662463,39072452,629539,31831502,32461041,329974,153873161,154203135,186664176,31492540,26195037,31915827,5388177,-18920842,44578199,15456983,11177184,137068081,37224507,3698969,204625724,108436078,0,0,112717206,97380380,15336826,28941371,300002,44578199,40644815,1928420,3124683,169982,0,169982,7321395,0,1669525,0,996098,55854918,0,40747913,0,8533729,0,0,973892,5305335,0,55560869,111415787,1291306,0,10113,0,1301419,112717206,31968642,23490421,960554,502412,3699731,2435398,6910960,4430583,11282712,5675141,15014880,6914080,3246217,6713310,1542039,0,0,0,0,17583374,1718608,97380380,46708682,15205177,7055776,6053037,1228070,21129638,1,4620587,82069508,5296056,26047276,1,-2642449,8066915,26196484,13025176,8524894,439092,238829,0,1616829,12821149,23640793,18537850,1856726,20394576,3246217,8524894,7748786,776108,439092,399117,39975,238829,217086,21743,0,0,0,1616828,1469632,147196,9574933,8703229,871704,1,57070175,60862957,3792782,449032,6278780,-2935030,0,14035407,111415787,15336826,44578199,12994985,69856533,97380380
100858,530670194,2099653980,1640187744,3739841724,4270511918,491601910,70425260,453410382,523835642,1087125676,1124336136,2211461812,2735297454,361295505,1432950477,252843320,25561468,-45834396,1665520869,215733940,300941181,2465876655,562525462,92515985,3637593223,1426430131,0,3946230,1553599802,1419815257,133784545,1529294196,2442128,1665520869,508389990,167123560,18387214,25652319,2760778,22891541,184574375,0,70735629,0,22738476,997601563,0,372626667,0,18401153,0,0,50527980,93571648,0,535127448,1532729011,11196347,9347593,326851,0,20870791,1553599802,300285653,154371952,307994935,138510566,132209979,56152254,200705568,103039670,51762494,22615680,107658460,70507211,19887924,263893048,83094181,0,0,0,0,35417196,0,1419815257,628291514,209147703,131434820,122093079,37454258,291393883,1,62386558,944185587,42550943,323667795,1,-28005026,95222313,313637168,140798071,18043636,1511846,194472,1574,66562004,114654011,200967543,170427967,10651652,181079619,19887924,18045428,16986161,1059267,4334203,4079786,254417,308891,290759,18132,0,0,0,29287512,27568335,1719177,129103585,121502926,7600659,1,911152148,1010419784,99267636,37340308,104418662,-42491334,0,112913754,1532729011,133784545,1665520869,207008924,1157550936,1419815257
101028,9632424,22705350,0,22705350,32337774,7196169,270778,3447294,3718072,5692440,15799077,21491517,25209589,5794611,16742132,19698,30000,-8262087,8529743,506000,1931862,25667314,5741775,2318350,36165301,13507751,47800,0,22966549,20128522,2838027,5691716,0,8529743,1531824,822953,5246871,4425,4425,0,0,,0,,88787,7694860,0,8479709,0,6742984,0,0,0,48996,0,15271689,22966549,0,0,0,0,0,22966549,6361793,4282540,0,0,0,0,812533,594521,2600129,1688308,5247619,1449582,2434763,0,0,,,,,2671685,400324,20128522,8415275,2688076,1587978,906363,146129,6384701,1,1858000,14006000,629982,4971757,1,-666858,1389243,5164629,2224412,3598517,822953,995182,4425,0,1171771,6592848,4158085,0,4158085,2434763,2350911,2350911,0,381955,381955,0,0,0,0,0,0,0,0,0,0,1425219,1425219,0,1,49698,49698,0,0,0,0,0,-12256348,22966548,2838027,8529743,19698,5692440,19951207
101480,113483388,465293284,15408479,480701763,594185151,67569768,13996987,56826914,70823901,273337179,138901499,412238678,483062579,56534640,207676537,15765708,964155,-102248700,122157700,7457806,18570901,370124323,40608840,29943995,466705865,176397944,0,0,212491873,179710578,32781295,89333640,42765,122157700,57774706,3791004,3757465,4518650,4518650,0,25468241,0,0,0,7705273,103015339,0,51028490,0,23304527,0,0,0,3070362,8602336,86005715,189021054,11781014,0,0,11689805,23470819,212491873,56235532,35972872,648511,273176,4532090,1818204,10302878,5446531,37267536,13995251,27366480,9812717,14074257,19728902,1659945,0,0,0,0,9554392,1,179710578,68978697,23999236,13008845,12222373,5652872,55848555,1,16002000,122711000,6133000,42902122,1,-6496035,13371923,50401640,20862968,20877594,426334,0,0,0,35832194,57136122,43061865,0,43061865,14074257,20877594,20877594,0,426334,426334,0,29979,29979,0,0,0,0,0,0,0,21727958,21727958,0,1,14258774,15423462,1164688,0,0,0,1164688,13301850,201311672,40033239,168659786,-36610502,144344331,192178428
