SchoolID,Conference,SchoolName,GraduationRate,Endowment
235316,WCC,Gonzaga University,87,430000000
230038,WCC,Brigham Young University,82,2780000000
120883,WCC,University of the Pacific,68,334000000
123554,WCC,Saint Mary's College of California,72,185000000
122931,WCC,Santa Clara University,88,1480000000
117946,WCC,Loyola Marymount University,80,650000000
122436,WCC,University of San Diego,78,670000000
121150,WCC,Pepperdine University,83,1220000000
122612,WCC,University of San Francisco,74,510000000
209825,WCC,University of Portland,77,300000000
104179,Pac-12,University of Arizona,66,1287688652
104151,Pac-12,Arizona State University,68,1467451000
110635,Pac-12,"University of California, Berkeley",93,2976911000
110662,Pac-12,"University of California, Los Angeles",91,3161632000
126614,Pac-12,University of Colorado Boulder,75,2300000000
209551,Pac-12,University of Oregon,71,1454374334
209542,Pac-12,Oregon State University,71,956459565
123961,Pac-12,University of Southern California,92,7700000000
243744,Pac-12,Stanford University,95,32100000000
230764,Pac-12,University of Utah,70,1589401000
236948,Pac-12,University of Washington,84,4918572705
236939,Pac-12,Washington State University,62,1270300418
