SchoolID,Conference,SchoolName,GraduationRate,Endowment
235316,Pac-12,Gonzaga University,87,430000000
209542,Pac-12,Oregon State University,71,956459565
236939,Pac-12,Washington State University,62,1270300418
142115,Pac-12,Boise State University,59,146169823
110556,Pac-12,"California State University, Fresno",56,218194842
126818,Pac-12,Colorado State University,84,598773948
122409,Pac-12,San Diego State University,78,433927801
230728,Pac-12,Utah State University,54,555549165
110422,Pac-12,California Polytechnic State University,85,265257622
110486,Pac-12,"California State University, Bakersfield",49,37162254
106245,Pac-12,University of Arkansas at Little Rock,41,174003743
