UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
107655,,,,2,0,0,2,2,100,,,,,,,9
107831,,,,6,0,0,6,6,100,,,,,,,28
111726,,,,22,0,0,22,22,100,,,,,,,19
114637,,,,2,0,0,2,2,100,,,,,,,20
142489,,,,7,0,0,7,7,100,,,,,,,14
147819,,,,40,0,0,40,40,100,,,,,,,13
154466,,,,4,0,0,4,4,100,,,,,,,13
159328,,,,18,0,0,18,18,100,,,,,,,15
159522,,,,43,0,0,43,43,100,,,,,,,20
159531,,,,10,0,0,10,10,100,,,,,,,10
159601,,,,10,0,0,10,10,100,,,,,,,5
169503,,,,35,0,0,35,35,100,,,,,,,20
169576,,,,7,0,0,7,7,100,,,,,,,16
179195,,,,4,0,0,4,4,100,,,,,,,16
188915,,,,2,0,0,2,2,100,,,,,,,4
190008,,,,2,0,0,2,2,100,,,,,,,2
190707,,,,9,0,0,9,9,100,,,,,,,6
194189,,,,1,0,0,1,1,100,,,,,,,16
195438,,,,2,0,0,2,2,100,,,,,,,5
201478,,,,1,0,0,1,1,100,,,,,,,8
201803,,,,11,0,0,11,11,100,,,,,,,4
203614,,,,150,0,0,150,150,100,,,,,,,12
203942,,,,11,0,0,11,11,100,,,,,,,7
214476,,,,5,0,0,5,5,100,,,,,,,7
226860,,,,16,0,0,16,16,100,,,,,,,10
235088,,,,115,0,0,115,115,100,,,,,,,16
236744,,,,21,0,0,21,21,100,,,,,,,18
237127,,,,19,0,0,19,19,100,,,,,,,20
237145,,,,3,0,0,3,3,100,,,,,,,8
238096,,,,1,0,0,1,1,100,,,,,,,9
238175,,,,35,0,0,35,35,100,,,,,,,14
245980,,,,15,0,0,15,15,100,,,,,,,16
363013,,,,13,0,0,13,13,100,,,,,,,27
365091,,,,1,0,0,1,1,100,,,,,,,20
365125,,,,32,0,0,32,32,100,,,,,,,22
366155,,,,2,0,0,2,2,100,,,,,,,20
372240,,,,1,0,0,1,1,100,,,,,,,15
376385,,,,1,0,0,1,1,100,,,,,,,10
376677,,,,2,0,0,2,2,100,,,,,,,20
379782,,,,6,0,0,6,6,100,,,,,,,26
381486,,,,7,0,0,7,7,100,,,,,,,8
383525,,,,43,0,0,43,43,100,,,,,,,10
407142,,,,16,0,0,16,16,100,,,,,,,14
412535,,,,10,0,0,10,10,100,,,,,,,8
417248,,,,17,0,0,17,17,100,,,,,,,16
417275,,,,10,0,0,10,10,100,,,,,,,14
417600,,,,10,0,0,10,10,100,,,,,,,8
417646,,,,9,0,0,9,9,100,,,,,,,8
417682,,,,6,0,0,6,6,100,,,,,,,8
417831,,,,2,0,0,2,2,100,,,,,,,15
418001,,,,2,0,0,2,2,100,,,,,,,26
418171,,,,5,0,0,5,5,100,,,,,,,22
418205,,,,9,0,0,9,9,100,,,,,,,6
419095,,,,12,0,0,12,12,100,,,,,,,6
419217,,,,2,0,0,2,2,100,,,,,,,8
419420,,,,21,0,0,21,21,100,,,,,,,10
420255,,,,26,0,0,26,26,100,,,,,,,14
423412,,,,11,0,0,11,11,100,,,,,,,17
428000,,,,1,0,0,1,1,100,,,,,,,8
433013,,,,8,0,0,8,8,100,,,,,,,30
434469,,,,154,0,0,154,154,100,,,,,,,20
441168,,,,3,0,0,3,3,100,,,,,,,14
443207,,,,13,0,0,13,13,100,,,,,,,9
444194,,,,2,0,0,2,2,100,,,,,,,7
444334,,,,29,0,0,29,29,100,,,,,,,15
446093,,,,39,0,0,39,39,100,,,,,,,20
446349,,,,12,0,0,12,12,100,,,,,,,5
446516,,,,2,0,0,2,2,100,,,,,,,6
447713,,,,2,0,0,2,2,100,,,,,,,7
447795,,,,18,0,0,18,18,100,,,,,,,14
449357,,,,5,0,0,5,5,100,,,,,,,15
452072,,,,10,0,0,10,10,100,,,,,,,13
455105,,,,1,0,0,1,1,100,,,,,,,13
455336,,,,25,0,0,25,25,100,,,,,,,8
455354,,,,1,0,0,1,1,100,,,,,,,20
456153,,,,18,0,0,18,18,100,,,,,,,7
456588,,,,13,0,0,13,13,100,,,,,,,15
457332,,,,5,0,0,5,5,100,,,,,,,7
457581,,,,24,0,0,24,24,100,,,,,,,16
457642,,,,9,0,0,9,9,100,,,,,,,23
457776,,,,16,0,0,16,16,100,,,,,,,19
457925,,,,1,0,0,1,1,100,,,,,,,3
458104,,,,1,0,0,1,1,100,,,,,,,16
458131,,,,97,0,0,97,97,100,,,,,,,20
459408,,,,15,0,0,15,15,100,,,,,,,9
460987,,,,39,0,0,39,39,100,,,,,,,10
461625,,,,3,0,0,3,3,100,,,,,,,8
462053,,,,23,0,0,23,23,100,,,,,,,20
470047,,,,3,0,0,3,3,100,,,,,,,10
476540,,,,3,0,0,3,3,100,,,,,,,15
479965,,,,2,0,0,2,2,100,,,,,,,12
479983,,,,14,0,0,14,14,100,,,,,,,15
480727,,,,27,0,0,27,27,100,,,,,,,6
480994,,,,3,0,0,3,3,100,,,,,,,16
483258,,,,10,0,0,10,10,100,,,,,,,25
483911,,,,6,0,0,6,6,100,,,,,,,8
483948,,,,1,0,0,1,1,100,,,,,,,12
485360,,,,2,0,0,2,2,100,,,,,,,10
485591,,,,8,0,0,8,8,100,,,,,,,15
485856,,,,2,0,0,2,2,100,,,,,,,11
486372,,,,7,0,0,7,7,100,,,,,,,8
486877,,,,7,0,0,7,7,100,,,,,,,9
487816,,,,2,0,0,2,2,100,,,,,,,13
488183,,,,1,0,0,1,1,100,,,,,,,8
488332,,,,1,0,0,1,1,100,,,,,,,24
488369,,,,8,0,0,8,8,100,,,,,,,16
488411,,,,30,0,0,30,30,100,,,,,,,14
490142,,,,1,0,0,1,1,100,,,,,,,15
490160,,,,42,0,0,42,42,100,,,,,,,8
490382,,,,13,0,0,13,13,100,,,,,,,16
490416,,,,8,0,0,8,8,100,,,,,,,20
490498,,,,15,0,0,15,15,100,,,,,,,10
490522,,,,16,0,0,16,16,100,,,,,,,20
490674,,,,3,0,0,3,3,100,,,,,,,25
491686,,,,10,0,0,10,10,100,,,,,,,20
491695,,,,7,0,0,7,7,100,,,,,,,18
491826,,,,23,0,0,23,23,100,,,,,,,20
492096,,,,2,0,0,2,2,100,,,,,,,20
492148,,,,2,0,0,2,2,100,,,,,,,16
493512,,,,18,0,0,18,18,100,,,,,,,50
493637,,,,15,0,0,15,15,100,,,,,,,20
493752,,,,3,0,0,3,3,100,,,,,,,3
494463,,,,214,0,0,214,214,100,,,,,,,48
494995,,,,19,0,0,19,19,100,,,,,,,20
495217,,,,6,0,0,6,6,100,,,,,,,15
495350,,,,1,0,0,1,1,100,,,,,,,8
496052,,,,13,0,0,13,13,100,,,,,,,5
496724,,,,10,0,0,10,10,100,,,,,,,25
496751,,,,15,0,0,15,15,100,,,,,,,15
496964,,,,5,0,0,5,5,100,,,,,,,25
497383,,,,9,0,0,9,9,100,,,,,,,7
497684,,,,12,0,0,12,12,100,,,,,,,7
497897,,,,1,0,0,1,1,100,,,,,,,20
497903,,,,2,0,0,2,2,100,,,,,,,8
498377,,,,68,0,0,68,68,100,,,,,,,15
498766,,,,10,0,0,10,10,100,,,,,,,6
498863,,,,12,0,0,12,12,100,,,,,,,14
499538,,,,21,0,0,21,21,100,,,,,,,15
499608,,,,5,0,0,5,5,100,,,,,,,4
101277,,,,37,0,0,37,19,51,,,,,,,7
103893,,,,172,0,0,172,120,70,,,,,,,21
103909,,,,68,0,0,68,45,66,,,,,,,13
103927,,,,73,0,0,73,57,78,,,,,,,16
103954,,,,4,0,0,4,3,75,,,,,,,24
104391,,,,69,0,0,69,61,88,,,,,,,18
106494,,,,16,0,0,16,11,69,,,,,,,24
107099,,,,9,0,0,9,7,78,,,,,,,19
107220,,,,173,0,0,173,108,62,,,,,,,11
107442,,,,3,0,0,3,1,33,,,,,,,18
107789,,,,29,0,0,29,24,83,,,,,,,12
109040,,,,130,0,0,130,97,75,,,,,,,30
109721,,,,146,0,0,146,89,61,,,,,,,14
109934,,,,69,0,0,69,60,87,,,,,,,16
110875,,,,14,0,0,14,13,93,,,,,,,12
111054,,,,19,0,0,19,16,84,,,,,,,16
111708,,,,24,0,0,24,23,96,,,,,,,28
111744,,,,26,0,0,26,21,81,,,,,,,21
111762,,,,18,0,0,18,15,83,,,,,,,21
111799,,,,24,0,0,24,22,92,,,,,,,27
112288,,,,450,0,0,450,353,78,,,,,,,12
112455,,,,8,0,0,8,5,63,,,,,,,13
114761,,,,17,0,0,17,15,88,,,,,,,22
115931,,,,136,0,0,136,120,88,,,,,,,36
116563,,,,34,0,0,34,28,82,,,,,,,13
118161,,,,5,0,0,5,4,80,,,,,,,12
118994,,,,21,0,0,21,13,62,,,,,,,22
119951,,,,69,0,0,69,60,87,,,,,,,30
120069,,,,66,0,0,66,55,83,,,,,,,27
120078,,,,112,0,0,112,96,86,,,,,,,24
120087,,,,43,0,0,43,38,88,,,,,,,32
122694,,,,120,0,0,120,89,74,,,,,,,19
124706,,,,209,0,0,209,162,78,,,,,,,23
126605,,,,52,0,0,52,36,69,,,,,,,14
126951,,,,338,0,0,338,271,80,,,,,,,22
128179,,,,92,0,0,92,62,67,,,,,,,22
128188,,,,142,0,0,142,98,69,,,,,,,22
129002,,,,89,0,0,89,58,65,,,,,,,13
130873,,,,305,0,0,305,229,75,,,,,,,18
132374,,,,932,0,0,932,657,70,,,,,,,13
133854,,,,58,0,0,58,37,64,,,,,,,27
133863,,,,117,0,0,117,64,55,,,,,,,31
133997,,,,62,0,0,62,39,63,,,,,,,9
134529,,,,99,0,0,99,25,25,,,,,,,23
136303,,,,98,0,0,98,23,23,,,,,,,2
138479,,,,294,0,0,294,214,73,,,,,,,11
138497,,,,152,0,0,152,131,86,,,,,,,8
138664,,,,39,0,0,39,20,51,,,,,,,12
141608,,,,7,0,0,7,4,57,,,,,,,18
142054,,,,53,0,0,53,44,83,,,,,,,11
143464,,,,10,0,0,10,7,70,,,,,,,13
145309,,,,19,0,0,19,17,89,,,,,,,11
